2026-05-16 10:53:16,685 - main - INFO - === Logging system initialized ===
2026-05-16 10:53:16,685 - main - INFO - Log file: logs/app_20260516_105316.log
2026-05-16 10:53:16,685 - main - INFO - Log level: INFO
2026-05-16 10:53:16,685 - main - INFO - Timestamp: 20260516_105316
2026-05-16 10:53:18,086 - main - INFO - Included router: routers.aihub.router
2026-05-16 10:53:18,108 - main - INFO - Included router: routers.auth.router
2026-05-16 10:53:18,162 - main - INFO - Included router: routers.diagnostic_reports.router
2026-05-16 10:53:18,211 - main - INFO - Included router: routers.favorite_nodes.router
2026-05-16 10:53:18,214 - main - INFO - Included router: routers.health.router
2026-05-16 10:53:18,236 - main - INFO - Included router: routers.settings.router
2026-05-16 10:53:18,273 - main - INFO - Included router: routers.storage.router
2026-05-16 10:53:18,318 - main - INFO - Included router: routers.subscription_plans.router
2026-05-16 10:53:18,326 - main - INFO - Included router: routers.user.router
2026-05-16 10:53:18,369 - main - INFO - Included router: routers.user_preferences.router
2026-05-16 10:53:18,412 - main - INFO - Included router: routers.user_subscriptions.router
2026-05-16 10:53:18,455 - main - INFO - Included router: routers.vpn_nodes.router
2026-05-16 10:53:20,578 - watchfiles.main - DEBUG - 1 change detected: {(<Change.added: 1>, '/workspace/app/backend/logs/app_20260516_105320.log')}
2026-05-16 10:53:20,931 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_105316.log')}
2026-05-16 10:53:21,282 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_105316.log')}
2026-05-16 10:53:21,634 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_105316.log')}
2026-05-16 10:53:21,986 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_105316.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_105320.log')}
2026-05-16 10:53:22,337 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_105316.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_105320.log')}
2026-05-16 10:53:22,688 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_105316.log')}
2026-05-16 10:53:23,039 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_105316.log')}
2026-05-16 10:53:23,390 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_105316.log')}
2026-05-16 10:53:23,741 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_105316.log')}
2026-05-16 10:53:24,092 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_105316.log')}
2026-05-16 10:53:24,443 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_105316.log')}
2026-05-16 10:53:24,794 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_105316.log')}
2026-05-16 10:53:25,145 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_105316.log')}
2026-05-16 10:53:25,496 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_105316.log')}
