2026-05-16 10:55:58,253 - main - INFO - === Logging system initialized ===
2026-05-16 10:55:58,253 - main - INFO - Log file: logs/app_20260516_105558.log
2026-05-16 10:55:58,253 - main - INFO - Log level: INFO
2026-05-16 10:55:58,254 - main - INFO - Timestamp: 20260516_105558
2026-05-16 10:55:59,885 - main - INFO - Included router: routers.aihub.router
2026-05-16 10:55:59,908 - main - INFO - Included router: routers.auth.router
2026-05-16 10:55:59,972 - main - INFO - Included router: routers.diagnostic_reports.router
2026-05-16 10:56:00,027 - main - INFO - Included router: routers.favorite_nodes.router
2026-05-16 10:56:00,079 - main - INFO - Included router: routers.health.router
2026-05-16 10:56:00,108 - main - INFO - Included router: routers.settings.router
2026-05-16 10:56:00,164 - main - INFO - Included router: routers.storage.router
2026-05-16 10:56:00,235 - main - INFO - Included router: routers.subscription_plans.router
2026-05-16 10:56:00,250 - main - INFO - Included router: routers.user.router
2026-05-16 10:56:00,308 - main - INFO - Included router: routers.user_preferences.router
2026-05-16 10:56:00,365 - main - INFO - Included router: routers.user_subscriptions.router
2026-05-16 10:56:00,428 - main - INFO - Included router: routers.vpn_nodes.router
2026-05-16 10:56:02,229 - watchfiles.main - DEBUG - 1 change detected: {(<Change.added: 1>, '/workspace/app/backend/logs/app_20260516_105602.log')}
2026-05-16 10:56:02,580 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_105558.log')}
2026-05-16 10:56:02,931 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_105558.log')}
2026-05-16 10:56:03,282 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_105602.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_105558.log')}
2026-05-16 10:56:03,633 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_105602.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_105558.log')}
2026-05-16 10:56:03,984 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_105558.log')}
2026-05-16 10:56:04,335 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_105558.log')}
2026-05-16 10:56:04,686 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_105558.log')}
2026-05-16 10:56:05,037 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_105558.log')}
2026-05-16 10:56:05,389 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_105558.log')}
2026-05-16 10:56:05,741 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_105558.log')}
2026-05-16 10:56:06,092 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_105558.log')}
2026-05-16 10:56:06,443 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_105558.log')}
2026-05-16 10:56:06,795 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_105558.log')}
2026-05-16 10:56:07,147 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_105558.log')}
2026-05-16 10:56:07,498 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_105558.log')}
2026-05-16 10:56:07,849 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_105558.log')}
