2026-05-16 10:18:18,636 - main - INFO - === Logging system initialized ===
2026-05-16 10:18:18,636 - main - INFO - Log file: logs/app_20260516_101818.log
2026-05-16 10:18:18,636 - main - INFO - Log level: INFO
2026-05-16 10:18:18,637 - main - INFO - Timestamp: 20260516_101818
2026-05-16 10:18:20,732 - main - INFO - Included router: routers.aihub.router
2026-05-16 10:18:20,756 - main - INFO - Included router: routers.auth.router
2026-05-16 10:18:20,804 - main - INFO - Included router: routers.diagnostic_reports.router
2026-05-16 10:18:20,849 - main - INFO - Included router: routers.favorite_nodes.router
2026-05-16 10:18:20,853 - main - INFO - Included router: routers.health.router
2026-05-16 10:18:20,873 - main - INFO - Included router: routers.settings.router
2026-05-16 10:18:20,908 - main - INFO - Included router: routers.storage.router
2026-05-16 10:18:20,950 - main - INFO - Included router: routers.subscription_plans.router
2026-05-16 10:18:20,959 - main - INFO - Included router: routers.user.router
2026-05-16 10:18:21,002 - main - INFO - Included router: routers.user_subscriptions.router
2026-05-16 10:18:21,101 - main - INFO - Included router: routers.vpn_nodes.router
2026-05-16 10:18:22,524 - watchfiles.main - DEBUG - 1 change detected: {(<Change.added: 1>, '/workspace/app/backend/logs/app_20260516_101822.log')}
2026-05-16 10:18:22,875 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_101818.log')}
2026-05-16 10:18:23,226 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_101818.log')}
2026-05-16 10:18:23,576 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_101818.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_101822.log')}
2026-05-16 10:18:23,928 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_101818.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_101822.log')}
2026-05-16 10:18:24,279 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_101818.log')}
2026-05-16 10:18:24,630 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_101818.log')}
2026-05-16 10:18:24,980 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_101818.log')}
2026-05-16 10:18:25,331 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_101818.log')}
2026-05-16 10:18:25,682 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_101818.log')}
2026-05-16 10:18:26,063 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_101818.log')}
2026-05-16 10:18:26,415 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_101818.log')}
2026-05-16 10:18:26,766 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_101818.log')}
2026-05-16 10:18:27,116 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_101818.log')}
2026-05-16 10:18:27,467 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_101818.log')}
2026-05-16 10:18:27,818 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_101818.log')}
2026-05-16 10:18:28,169 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_101818.log')}
2026-05-16 10:18:28,520 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_101818.log')}
2026-05-16 10:18:28,870 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_101818.log')}
2026-05-16 10:18:29,222 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_101818.log')}
2026-05-16 10:18:29,573 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_101818.log')}
2026-05-16 10:18:29,924 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_101818.log')}
2026-05-16 10:18:30,274 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_101818.log')}
2026-05-16 10:18:30,625 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_101818.log')}
2026-05-16 10:18:30,976 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_101818.log')}
2026-05-16 10:18:31,327 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_101818.log')}
