2026-05-16 10:04:57,575 - main - INFO - === Logging system initialized ===
2026-05-16 10:04:57,575 - main - INFO - Log file: logs/app_20260516_100457.log
2026-05-16 10:04:57,575 - main - INFO - Log level: INFO
2026-05-16 10:04:57,575 - main - INFO - Timestamp: 20260516_100457
2026-05-16 10:05:13,219 - main - INFO - Included router: routers.aihub.router
2026-05-16 10:05:13,320 - main - INFO - Included router: routers.auth.router
2026-05-16 10:05:13,424 - main - INFO - Included router: routers.diagnostic_reports.router
2026-05-16 10:05:13,527 - main - INFO - Included router: routers.favorite_nodes.router
2026-05-16 10:05:13,571 - main - INFO - Included router: routers.health.router
2026-05-16 10:05:13,618 - main - INFO - Included router: routers.settings.router
2026-05-16 10:05:13,750 - main - INFO - Included router: routers.storage.router
2026-05-16 10:05:13,850 - main - INFO - Included router: routers.subscription_plans.router
2026-05-16 10:05:13,935 - main - INFO - Included router: routers.user.router
2026-05-16 10:05:14,035 - main - INFO - Included router: routers.user_subscriptions.router
2026-05-16 10:05:14,116 - main - INFO - Included router: routers.vpn_nodes.router
2026-05-16 10:05:17,349 - watchfiles.main - DEBUG - 1 change detected: {(<Change.added: 1>, '/workspace/app/backend/logs/app_20260516_100517.log')}
2026-05-16 10:05:17,700 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:18,051 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:18,402 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:18,753 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100517.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:19,104 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100517.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:19,454 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:19,805 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:20,156 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:20,507 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:20,857 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:21,208 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:21,559 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:21,910 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:22,261 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:22,612 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:22,963 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:23,314 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:23,665 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:24,016 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:24,366 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:24,717 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:25,068 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:25,419 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:25,770 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:26,121 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:26,472 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:26,823 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:27,174 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:27,525 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:27,876 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:28,227 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:28,578 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:28,928 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:29,279 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:29,630 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:29,981 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:30,332 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:30,683 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:31,034 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:31,385 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:31,736 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:32,087 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:32,437 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:32,788 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:33,139 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:33,490 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:33,841 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:34,191 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:34,542 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:34,893 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:35,244 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:35,595 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:35,946 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:36,297 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:36,648 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:36,999 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:37,350 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:37,701 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:38,052 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:38,402 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:38,753 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:39,104 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
2026-05-16 10:05:39,455 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260516_100457.log')}
